[09:16:25]  Demmarrage version : 0.9.9.0
[09:16:25]  lecture de la configuration
[09:16:25]  Rafraichissement de la configuration
[09:16:26] 	 Activation surveillance de : C:\export
[09:16:26] 	 Connection pour pi OK
[09:16:26] 	 Test des domaines
[09:16:26] 		 Domaine C:\Naizin\  -> Ok
[09:16:26] 		 Domaine C:\EFELE\  -> Ok
[09:16:26] 	 Connection Admin OK
[09:16:26] 	 pi deja connecte
[09:16:42] 	 Arret de la surveillance de : C:\export
[09:16:50]  Lecture des stations pour : C:\Naizin\ pour la configuration automatique
[09:16:50] 	 Ouverture de la table : C:\Naizin\GB_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GBM_02.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K1\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K2\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K3\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K4\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K5\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K6\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G1\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G2\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G3\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G4\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G5\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G6\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERV_B_E.XU\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F1\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F2\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F3\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\TOUL_B_M.ET\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GBM_03.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERV_C_E.XU\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K1\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K2\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K3\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K4\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G2\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G3\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G4\SS_DATEI.DB
[09:16:51] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G5\SS_DATEI.DB
